city,entity_id,__last_seen,text,region,note,street,postal_code,country_code,country_name,street_2,__first_seen
Pyongyang,eu-eeas-sanctions.6863,2018-05-01 01:10:08.591872,,,,"PO Box 32, BEL Building, Jonseung-Dung, Moranbong District",,KP,PRK,,2018-04-12 07:36:38.781775
Damascus,eu-eeas-sanctions.6834,2018-05-01 01:10:09.217626,,,,"Al Qudsi building, 2nd Floor - Baramkeh",,SY,SYR,,2018-04-12 07:36:38.040078
"Nungrado, Pyongyang",eu-eeas-sanctions.6857,2018-05-01 01:10:09.238309,,,,,,KP,PRK,,2018-04-12 07:36:38.106343
Damascus,eu-eeas-sanctions.6842,2018-05-01 01:10:09.246805,,,,"17 Prime Minister Building, Street Nissan",,SY,SYR,,2018-04-12 07:36:38.395329
"Rakwon-dong, Pothonggang District, Pyongyang",eu-eeas-sanctions.6854,2018-05-01 01:10:09.730237,,,,,,KP,PRK,,2018-04-12 07:36:38.614838
"Kandahari Bazaar, Quetta City, Baluchistan Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.043742,,,,Branch Office 1 Chohar Mir Road,,PK,PAK,,2018-04-12 07:36:45.074435
"Quetta, Baluchistan Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.060488,,,,"Branch Office 1,  Room number 1 Abdul Sattar Plaza, Hafiz Saleem Street, Munsafi Road",,PK,PAK,,2018-04-12 07:36:45.091192
"Quetta, Baluchistan Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.077143,,,,"Branch Office 1, Shop number 3 Dr Bano Road",,PK,PAK,,2018-04-12 07:36:45.107852
"Quetta, Baluchistan Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.093908,,,,"Branch Office 1, Office number 3 Near Fatima Jinnah Road, Dr Bano Road",,PK,PAK,,2018-04-12 07:36:45.163169
"Quetta, Baluchistan Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.110479,,,,"Branch Office 1 Kachara Road, Nasrullah Khan Chowk",,PK,PAK,,2018-04-12 07:36:45.224505
"Quetta, Baluchistan Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.172998,,,,Branch Office 1 Wazir Mohammad Road,,PK,PAK,,2018-04-12 07:36:45.241137
,eu-eeas-sanctions.7176,2018-05-01 01:10:11.181404,,,,,,UG,UGA,,2018-04-12 07:36:45.524887
"Peshawar, Khyber Paktunkhwa Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.189734,,,,Branch Office 2,,PK,PAK,,2018-04-12 07:36:45.257803
"Lahore, Punjab Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.206427,,,,Branch Office 3 Moishah Chowk Road,,PK,PAK,,2018-04-12 07:36:45.274494
"Karachi, Sindh Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.223077,,,,Branch Office 4,,PK,PAK,,2018-04-12 07:36:45.338210
"Chaman, Baluchistan Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.239791,,,,"Branch Office 5, 2 Larran Road",,PK,PAK,,2018-04-12 07:36:45.458190
"Chaman, Baluchistan Province",eu-eeas-sanctions.7067,2018-05-01 01:10:11.306642,,,,Branch Office 5 Chaman Central Bazaar,,PK,PAK,,2018-04-12 07:36:45.508010
Damascus,eu-eeas-sanctions.7062,2018-05-01 01:10:11.460875,,,,Al Oumaween Square,,SY,SYR,,2018-04-12 07:36:41.970754
Baghdad,eu-eeas-sanctions.1981,2018-05-01 01:09:57.106901,,,,"Hai Babil, Lane 11, District 929",,IQ,IRQ,,2018-04-12 07:35:54.302206
Baghdad,eu-eeas-sanctions.1981,2018-05-01 01:09:57.123527,,,,"Hai Al-Wahda, Lane 15, Area 902, Office 10",,IQ,IRQ,,2018-04-12 07:35:54.375058
Pyongyang,eu-eeas-sanctions.6851,2018-05-01 01:10:09.330366,,,,,,KP,PRK,,2018-04-12 07:36:38.081881
Karachi,eu-eeas-sanctions.6949,2018-05-01 01:10:10.022125,,,,,,PK,PAK,,2018-04-12 07:36:40.740220
Rubavu/Mudende,eu-eeas-sanctions.7201,2018-05-01 01:10:11.323607,,,,,,RW,RWA,,2018-04-12 07:36:44.565681
Damascus,eu-eeas-sanctions.7154,2018-05-01 01:10:11.461221,,,,Aleppo Street,,SY,SYR,,2018-04-12 07:36:43.645645
,eu-eeas-sanctions.7154,2018-05-01 01:10:11.477835,,,,"P.O. BOX 5966,",,,,,2018-04-12 07:36:43.662417
Damascus,eu-eeas-sanctions.7396,2018-05-01 01:10:13.855034,,,,P.O. Box 4470,,SY,SYR,,2018-04-12 07:37:37.774794
,eu-eeas-sanctions.7352,2018-05-01 01:10:13.950602,,,,,,ML,MLI,,2018-04-12 07:37:21.387104
,eu-eeas-sanctions.7414,2018-05-01 01:10:14.230086,,,,,,,,,2018-04-12 07:37:25.387638
Simferopol,eu-eeas-sanctions.7425,2018-05-01 01:10:14.511140,,,,Aeroflotskaya street 5,295024,,,,2018-04-12 07:37:23.600081
г. Симферополь,eu-eeas-sanctions.7425,2018-05-01 01:10:14.592839,,,,"ул. Аэрофлотская, дом 5",295024,,,,2018-04-12 07:37:23.612070
A Haqqani Madrassa in the Afghanistan/Pakistan Border Area,eu-eeas-sanctions.7493,2018-05-01 01:10:15.482602,,,,,,AF,AFG,,2018-04-12 07:37:49.543344
Derna,eu-eeas-sanctions.7517,2018-05-01 01:10:15.839857,,,,,,LY,LBY,,2018-04-12 07:37:46.158862
Jebel Akhdar,eu-eeas-sanctions.7517,2018-05-01 01:10:15.856280,,,,,,LY,LBY,,2018-04-12 07:37:46.175359
,eu-eeas-sanctions.7532,2018-05-01 01:10:15.943920,,,,,,,,,2018-04-12 07:37:48.026299
,eu-eeas-sanctions.7549,2018-05-01 01:10:16.998807,,,,,,SY,SYR,,2018-04-12 07:37:52.610242
,eu-eeas-sanctions.108203,2018-05-01 01:10:18.824972,,,,,,AF,AFG,,2018-04-12 07:37:56.037629
Pyongyang,eu-eeas-sanctions.107838,2018-05-01 01:10:19.108581,,,,,,KP,PRK,,2018-04-12 07:37:54.146864
Uccle,eu-eeas-sanctions.112118,2018-05-01 01:10:19.800535,,,,Messidorlaan 217/25,1180,BE,BEL,,2018-04-12 07:37:58.646651
Al-Bukamal,eu-eeas-sanctions.113391,2018-05-01 01:10:20.851597,,,,,,SY,SYR,,2018-04-12 07:38:04.886581
Albu Kamal,eu-eeas-sanctions.113391,2018-05-01 01:10:20.868258,,,,,,SY,SYR,,2018-04-12 07:38:04.948549
,eu-eeas-sanctions.114866,2018-05-01 01:10:21.435748,,,,,,LY,LBY,,2018-04-12 07:37:59.423906
Khama,eu-eeas-sanctions.116106,2018-05-01 01:10:21.722612,,,,,,SY,SYR,,2018-04-12 07:38:00.003500
Aleppo,eu-eeas-sanctions.116106,2018-05-01 01:10:21.739176,,,,,,SY,SYR,,2018-04-12 07:38:00.070224
Idlib,eu-eeas-sanctions.116106,2018-05-01 01:10:21.756087,,,,,,SY,SYR,,2018-04-12 07:38:00.124038
Khan-Shaykhun,eu-eeas-sanctions.116106,2018-05-01 01:10:21.772765,,,,,,SY,SYR,,2018-04-12 07:38:00.140729
,eu-eeas-sanctions.116106,2018-05-01 01:10:21.869820,,,,,,PK,PAK,,2018-04-12 07:38:00.157245
,eu-eeas-sanctions.116106,2018-05-01 01:10:21.886137,,,,,,AF,AFG,,2018-04-12 07:38:00.173982
Zenica,eu-eeas-sanctions.2340,2018-05-01 01:09:59.683822,,,,,,BA,BIH,,2018-04-12 07:35:55.151948
Tehran,eu-eeas-sanctions.6689,2018-05-01 01:10:09.417567,,,,"11 Tawhid 6 Street, Moj Street, Darya Blvd, Shahrak Gharb",,IR,IRN,,2018-04-12 07:36:38.073249
Damascus,eu-eeas-sanctions.6906,2018-05-01 01:10:09.530608,,,,16 Mazzeh Villat Ghabia Dar Es Saada [Head Office],,SY,SYR,,2018-04-12 07:36:39.798522
Damascus,eu-eeas-sanctions.6906,2018-05-01 01:10:09.609696,,,,P.O. Box 9120,,SY,SYR,,2018-04-12 07:36:39.823554
Damascus,eu-eeas-sanctions.6964,2018-05-01 01:10:10.468734,,,,"Al Adawi st., Petroleum building",,SY,SYR,,2018-04-12 07:36:44.399411
,eu-eeas-sanctions.7418,2018-05-01 01:10:14.325920,,,,,,UA,UKR,,2018-04-12 07:37:28.637466
,eu-eeas-sanctions.7350,2018-05-01 01:10:14.942865,,,,,,NG,NGA,,2018-04-12 07:37:34.958086
"Wau, Western Bahr El Ghazal, South Sudan",eu-eeas-sanctions.105596,2018-05-01 01:10:17.015297,,,,,,SD,SDN,,2018-04-12 07:37:49.654407
"Unity State,South Sudan",eu-eeas-sanctions.105596,2018-05-01 01:10:17.086066,,,,,,SD,SDN,,2018-04-12 07:37:49.718337
